,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global,,Wizard,,,,Plasma,,Astronomer,,,,Weather,,Cryomancer,,,,Lightning,,Enchanter,,,,Fire,,Warlock
,4,,Attack is increased by 5% (global),,,,4,,Spirit damage is increased by 20% (global),,,,4,,Damage reduction is increased by 5% (global),,,,4,,Arcane Ray damage is increased by 20% (global),,,,4,,Cyclone damage is increased by 20% (global)
,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire,,Pyromancer,,,,Lightning,,Sorcerer,,,,Plasma,,Alchemist,,,,Global,,Scholar,,,,Fire,,Witch
,,,"For every 3 levels, Fireball damage increases by 5%",,,,,,"For every 3 levels, Electrick Shock damage increases by 5%",,,,,,"For every 3 levels, Energy Bolt damage increases by 5%",,,,,,"For every 3 levels, all magic damage increases by 1%",,,,,,"For every 3 levels, Lava Zone damage increases by 5%"
,1,,Fireball level +1,,,,1,,Electric Shock level +1,,,,1,,Energy Bolt level +1,,,,1,,Increases MP gain by 10%,,,,1,,Lava Zone level +1
,2,,Reduces the cooldown of Fireball by 20%,,,,2,,Reduces the cooldown of Electric Shock by 20%,,,,2,,Reduces the cooldown of Energy Bolt by 20%,,,,2,,Increases the effect of mana recovery by 30%,,,,2,,Reduces Lava Zone cooldown by 20%
,3,,Increases the number of Fireballs by 1,,,,3,,Increases the number of Electric Shocks by 35%,,,,3,,Increases the number of bolts by 35%,,,,3,,Increases the starting level by 3,,,,3,,Increases number of zones by 1
,4,,Fireball damage is increased by 20% (global),,,,4,,Electric Shock damage is increased by 20% (global),,,,4,,Energy Bolt damage is increased by 20% (global),,,,4,,MP gain is increased by 5% (global),,,,4,,Lava Zone damage is increased by 20% (global)
,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lightning,,Electromancer,,,,Weather,,Moderator,,,,Global,,Arc Mage,,,,Global,,Archeologist,,,,Global,,Magician
,,,"For every 3 levels, Electric Zone damage increases by 5%",,,,,,"For every 3 levels, Tsunami damage increases by 5%",,,,,,Fusion damage is increased by 20%,,,,,,"For every 15 levels, generate a chest",,,,,,"20% chance for Magic Bullets to turn into a random projectile (fireball, electrick shock, spirit, energy bolt)"
,1,,Electric Zone level +1,,,,1,,Tsunami level +1,,,,1,,Magic Circle level +1,,,,1,,Explorer level +1,,,,1,,Magic Bolt level +1
,2,,Reduces Electric Zone attack interval by 30%,,,,2,,Reduces the cooldown of Tsunami by 20%,,,,2,,Silent Chanting level +1,,,,2,,Increases MP gain by 10%,,,,2,,Increases the chance of random projectiles by 5%
,3,,Increases Electric Zone size by 35%,,,,3,,Increases the number of waves by 35%,,,,3,,Fusion damage increases by 20%,,,,3,,Increases the drop frequency of chests by 10%,,,,3,,Increases the chance of random projectiles by 5%
,4,,Electric Zone damage is increased by 20% (global),,,,4,,Tsunami damage is increased by 20% (global),,,,4,,All magic cooldown is reduced by 5% (global),,,,4,,Pickup range is increased by 20% (global),,,,4,,Critical strike chance is increased by 3% (global)
,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weather,,Mage,,,,Lightning,,Battle Mage,,,,Fire,,Warlord,,,,Global,,Dark Wizard,,,,,,
,,,"For every 3 levels, Blizzard damage increases by 5%",,,,,,"For every 3 levels, Flash Shock damage increases by 5%",,,,,,"For every 3 levels, Incineration damage increases by 5%",,,,,,10% chance to cause an explosion dealing 75% of an enemies max HP when killed,,,,,,
,1,,Blizzard level +1,,,,1,,Flash Shock level +1,,,,1,,Incineration level +1,,,,1,,Arcane Effuse level +1,,,,,,
,2,,Reduces Blizzard cooldown by 20%,,,,2,,Reduces Flash Shock cooldown by 20%,,,,2,,Reduces Incineration cooldown by 20%,,,,2,,Increases explosion chance by 5%,,,,,,
,3,,Increases number of icicles by 35%,,,,3,,Increases Flash Shock size by 25%,,,,3,,Increases Incineration size by 25%,,,,3,,Increases explosion chance by 5%,,,,,,
,4,,Blizzard damage is increased by 20% (global),,,,4,,Flash Shock damage is increased by 20% (global),,,,4,,Incineration damage is increased by 20% (global),,,,4,,All magic size is increased by 3% (global),,,,,,
,Notes,,,,,,Notes,,,,,,Notes,,,,,,Notes,,,,,,,,
